Start,End,Duration (days),Signal Days,Peak Corr,Peak VIX Z,Peak OVX Z,Peak VIX,Peak OVX
2008-09-17,2008-12-04,79,49,0.399,6.635,4.564,80.86,92.9
2010-05-20,2010-06-07,19,5,0.729,4.963,1.357,45.79,47.15
2011-08-04,2011-11-10,99,61,0.875,8.088,6.114,48.0,61.82
2014-10-07,2014-10-17,11,8,0.545,5.543,7.366,25.27,37.23
2014-12-11,2014-12-17,7,5,0.515,3.684,5.21,23.57,57.55
2015-01-05,2015-01-19,15,7,0.409,2.801,3.282,22.39,57.77
2016-01-07,2016-01-21,15,6,0.638,2.338,2.785,27.59,67.93
2018-12-18,2018-12-28,11,9,0.309,4.044,3.37,36.07,57.16
2020-02-27,2020-04-03,37,27,0.583,8.296,10.291,82.69,190.08
2021-11-26,2021-12-06,11,6,0.66,3.206,7.361,31.12,78.18
2022-01-24,2022-01-28,5,4,0.708,3.762,1.318,31.96,47.84
2022-02-11,2022-02-17,7,5,0.714,2.524,1.958,28.33,53.14
2022-03-01,2022-03-15,15,11,0.55,3.961,4.634,36.45,78.91
2025-04-04,2025-05-06,33,20,0.672,6.852,3.259,52.33,55.26
